sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local,id
331,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Cross Triangulation Exchange Rate,,Pure,,,0..1,Exchange rate used to convert from amountRestatedAmount to amountTriangulationAmount as of multicurrencyDetailExchangeRateDate (expressed as foreign currency divided by triangulation currency),換算通貨トライアンギュレーション通貨換算レート,amountRestatedAmountからamountTriangulationAmountへの、multicurrencyDetailExchangeRateDate時点の換算レート。（外貨通貨をトライアンギュレーション通貨で割った値）,MU01-12
332,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Cross Triangulation Exchange Rate Source,,String,,,0..1,"Source of Exchange Rate for converting between foreign currency and triangulation currency - for example, Reuters, Bloomberg",換算通貨トライアンギュレーション通貨換算レート情報源,"外貨通貨とトライアンギュレーション通貨の間の換算レートの情報源。たとえば、Reuters, Bloomberg。",MU01-13
333,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Cross Triangulation Exchange Rate Type,,String,,,0..1,"Type of Exchange Rate for converting between foreign currency and triangulation currency - for example, spot rate, forward contract etc.",換算通貨トライアンギュレーション通貨換算レート種別,外貨通貨とトライアンギュレーション通貨の間の換算レートの種別。たとえば、スポット・レート、先物など。,MU01-14
334,2,Attribute,,muc,Detail_ Multicurrency,Multicurrency Comment,,String,,,0..1,Comment describing the enclosing multicurrencyDetail class's contents. May include reason for recording additional exchange rates other than that used at the time of the original transaction.,多通貨明細コメント,multicurrencyDetailの内容のコメント。原取引時以外の、追加の換算レートを記録する理由などを記述。,MU01-15
335,1,Class,,cor,Detail_ XBRL,,,,,,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。,CO18
336,2,Attribute,,cor,Detail_ XBRL,XBRL Allocation,,Token,,,0..1,"Indicates that the information being given is beginning_balance, ending_balance, period_change.",XBRL割当,"与えられた情報が、期首残高、期末残高、期中増減のいずれであるかを示す。_x000D_
[設定値のリスト]_x000D_
(beginning_balance：期首残高)、(ending_balance：期末残高)、(period_change：期中増減)",CO18-01
337,2,Attribute,,cor,Detail_ XBRL,XBRL Summary Reporting Element,,QName,,,0..1,Associated XBRL element or XML element within an XML taxonomy - mapping to an XBRL concept.,集約報告エレメント,関係付けられた、XMLタクソノミ中のXBRL要素または、XML要素。XBRLコンセプトへのマッピング。,CO18-02
338,2,Attribute,,cor,Detail_ XBRL,XBRL Detail Matching Element,,QName,,,0..1,Associated XBRL element in XBRL-GL instance.,明細対応エレメント,関係付けられた、XBRL-GLインスタンス中のXBRL要素。,CO18-03
339,2,Attribute,,cor,Detail_ XBRL,XBRL Summary Tuple Path,,String,,,0..1,Specific filter for parent class class. This value must be valid XPath. And the result of the XPath must be resolved to a node.,集約タプルパス,親タグ構造を特定するフィルタ。妥当なXPath記述でなければならない。XPathの結果はノードでなければならない。,CO18-04
340,2,Attribute,,cor,Detail_ XBRL,XBRL Detailed Content Filter,,String,,,0..1,"Filtering mechanism. This value must be valid XPath. And the result of the XPath must be resolved to boolean. If the resulting value is false, the entry  must not mapped into specified facts in F/S.",明細コンテントフィルタ,フィルタリング手段。妥当なXPath記述でなければならない。XPathの結果はブール値でなければならない。結果がfalseの場合は、仕訳はF/S内の特定のfactsにマッピングされてはならない。,CO18-05
341,2,Attribute,,cor,Detail_ XBRL,XBRL Reporting Date Selector,,Token,,,0..1,This holds the concepts in GL data to create FS contexts.  The value must be a list of QName. Each QName must be resolved to GL items. Order of the items defines priority to access.,報告日付セレクタ,F/Sのコンテキストを生成するためのGLデータの概念を示す。QNameのリストでなければならない。個々のQNameはGL項目を示さなければならない。項目の並びはアクセスの優先度を示す。,CO18-06
342,2,Attribute,,cor,Detail_ XBRL,XBRL Summary Operator,,String,,,0..1,The operator applied to the amount or quantity when it is rolled up to a summary reporting element.,,,CO18-07
343,2,Attribute,,cor,Detail_ XBRL,XBRL Summary Unit Numerator,,Token,,,1..1,This holds the list of measure information for unit numerator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,集約ユニット分子,集約のユニットの分子の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。,CO18-08
344,2,Attribute,,cor,Detail_ XBRL,XBRL Summary Unit Denominator,,Token,,,0..1,This holds the list of measure information for unit denominator. The value must be a list of QName. Each QName must be resolved to be measure information such as iso4217:usd.,集約ユニット分母,集約のユニットの分母の測定情報のリスト。QNameのリストでなければならない。QNameはiso4217:usdのような、解決される測定情報でなければならない。,CO18-09
345,2,Attribute,,cor,Detail_ XBRL,XBRL Summary Reporting Taxonomy ID Reference,,String,,,0..1,"Reference to the ID of the relevant target reporting taxonomy, defined in the [summaryReportingTaxonomies] class at [documentInfo] level. Allows consuming applications to identify sets of [xbrlInfo] classs that point to a specific taxonomy.",集約報告タクソノミ識別子参照情報,関連する報告タクソノミの識別子への参照情報。documentInfo内のsummaryReportingTaxonomies構造体で定義される。特定のタクソノミを示すxbrlInfo構造体の集合を、アプリケーションが識別できるようにする。,CO18-10
346,1,Class,,bus,Detail_ Measurable,,,,,,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,BU31
347,2,Attribute,PK,bus,Detail_ Measurable,Measurable Code,,Token,,,0..1,"Code for measurable item including BP - Business process, FA - Fixed asset/Capitalized item, IN - Inventory, KPI - Metric, NT - Intangible, SP - Supplies, SV-P - Service by employee, vendor or contractor, SV-M - Service by equipment/machinery, OT - Other",計測可能物コード,"計測可能物のコード。ビジネスプロセス、固定資産/資産化項目、在庫、測定基準、無形資産、貯蔵品、従業員/提供元/請負者によるサービス、装置/機械によるサービス、その他_x000D_
[設定値のリスト]_x000D_
(BP：ビジネスプロセス)、(FA：固定資産/資産化項目)、(IN：在庫)、(KPI：測定基準)、(NT：無形資産)、(SP：貯蔵品)、(SV-P：従業員/提供元/請負者によるサービス)、(SV-M：装置/機械によるサービス)、(OT：その他)",BU31-01
348,2,Attribute,,bus,Detail_ Measurable,Measurable Code Description,,String,,,0..1,Free format description of the measurable code,計測可能物コード説明,計測可能物のコードの説明。,BU31-02
349,2,Attribute,,bus,Detail_ Measurable,Measurable Category,,String,,,0..1,Category of the measurable,計測可能物カテゴリ,計測可能物のカテゴリ。,BU31-03
350,2,Attribute,,bus,Detail_ Measurable,Measurable Identification,,String,,,0..1,Internal inventory part or SKU number or other code identifier for the measurable.,計測可能物識別子,計測可能物の社内在庫部分またはSKU番号またはその他のコード識別子。,BU31-04
351,2,Attribute,,bus,Detail_ Measurable,Schema for Measurable Identification,,String,,,0..1,URI or other identifier for schema with which measurable ID can be validated,計測可能物識別子スキーマ,計測可能物のIDを検証するスキーマの、URIまたはその他の識別子。,BU31-05
352,2,Attribute,,bus,Detail_ Measurable,Secondary Measurable Code,,String,,,0..1,Second identifier (such as vendor's item number),計測可能物第二識別子,第二識別子。（例えば、ベンダーでの品目番号）。,BU31-06
353,2,Attribute,,bus,Detail_ Measurable,Schema for Secondary Measurable Identification,,String,,,0..1,URI or other identifier for schema with which measurable ID Other can be validated,計測可能物第二識別子スキーマ,計測可能物の第二IDを検証するスキーマの、URIまたはその他の識別子。,BU31-07
